"Summary of the Bayesian multilevel models showing the effects of patch size, patch area/perimeter ratio, urbanization score, distance to the nearest patch, jurisdictional agency types (01 for federal, 02 for state, 03 county, 04 cross-county, 05 city, and 06 for others), distance to the patch edge, and distance to the nearest paved trail on multilevel models of forest patch diversity, structure, and complexity across the Anoka Sandplain, Big Woods, and St. Paul - Baldwin ecological subsections. The abbreviations represent Marginal R2 (Marg. R2), Conditional R2 (Cond. R2), standard error of the estimate (Est. Error), lower (l-95% CI) and upper (u-95% CI) bounds of the 95% credible interval for the estimate, model convergence diagnostic (Rhat),  effective sample size for bulk estimates (Bulk ESS), and Effective sample size for the distribution tails (Tail ESS). For detailed descriptions of predictors, see the Methods section.",,,,,,,,,,,
Response variable,Ecological subsection,Marg. R2,Cond. R2,Predictor,Estimate,Est. Error,l-95% CI,u-95% CI,Rhat,Bulk ESS,Tail ESS
,,,,patch size (m2),-0.11,0.25,-0.6,0.39,1,13099,7561
,,,,Patch area/perimeter ratio,0.55,0.26,0.03,1.06,1,13219,9023
,,,,urbanization score,-0.16,0.33,-0.81,0.49,1,13696,8836
,,,,distance to nearest patch (km),0,0.28,-0.54,0.54,1,13121,8506
,,,,agency type 2,0.61,2.92,-5.18,6.24,1,7171,7966
,,,,agency type 3,1.9,2.66,-3.26,7.16,1,7019,7799
,,,,agency type 4,-0.06,5.22,-10.23,9.99,1,12462,8533
,,,,agency type 5,1.44,2.73,-3.89,6.89,1,7344,8114
,,,,distance to patch edge (m),0.34,0.23,-0.11,0.79,1,14541,9062
,,,,distance to paved trail (m),0.11,0.37,-0.62,0.84,1,13839,9691
,Big Woods,0.068,0.137,Intercept,30.27,0.98,28.28,32.14,1,8460,7162
,,,,patch size (m2),-0.01,0.18,-0.37,0.36,1,15272,10021
,,,,Patch area/perimeter ratio,-0.41,0.41,-1.22,0.39,1,16076,9060
,,,,urbanization score,0.22,0.18,-0.14,0.57,1,14076,10175
,,,,distance to nearest patch (km),-0.09,0.13,-0.35,0.17,1,17056,9288
,,,,agency type 2,-0.59,1.32,-3.2,2,1,19306,9042
,,,,agency type 3,1.31,2.34,-3.3,5.92,1,14867,9874
,,,,agency type 4,-0.84,1.16,-3.09,1.45,1,9689,8764
,,,,agency type 5,-1.18,1.33,-3.77,1.46,1,9916,9073
,,,,agency type 6,-2.54,3.02,-8.4,3.48,1,15445,9956
,,,,distance to patch edge (m),0.15,0.16,-0.15,0.46,1,20377,9126
,,,,distance to paved trail (m),-0.22,0.43,-1.05,0.62,1,11779,9470
,St. Paul - Baldwin,0.152,0.37,Intercept,24.28,2.91,18.62,30.1,1,4060,5724
,,,,patch size (m2),-0.23,0.41,-1.02,0.59,1,7691,8471
,,,,Patch area/perimeter ratio,0.14,0.26,-0.36,0.65,1,8323,9382
,,,,urbanization score,-0.28,0.33,-0.93,0.37,1,7169,9215
,,,,distance to nearest patch (km),-0.42,0.31,-1.04,0.19,1,7705,9141
,,,,agency type 2,2.76,3.14,-3.53,8.86,1,4556,6012
,,,,agency type 3,4.76,2.97,-1.15,10.52,1,4248,6017
,,,,agency type 4,11.87,4.6,2.81,20.81,1,5489,7801
,,,,agency type 5,5.47,3.1,-0.77,11.5,1,4174,6361
,,,,agency type 6,6.11,3.7,-1.26,13.27,1,5346,7639
,,,,distance to patch edge (m),0.01,0.18,-0.35,0.36,1,17597,8972
,,,,distance to paved trail (m),0.04,0.28,-0.49,0.58,1,8318,8647
Average tree height,Anoka Sandplain,0.157,0.405,Intercept,20.19,1.34,17.55,22.8,1,3729,5041
,,,,patch size (m2),0.03,0.14,-0.24,0.31,1,4714,6202
,,,,Patch area/perimeter ratio,0.01,0.11,-0.2,0.22,1,5460,6915
,,,,urbanization score,0.02,0.13,-0.23,0.27,1,5931,7096
,,,,distance to nearest patch (km),-0.07,0.11,-0.28,0.14,1,6673,8168
,,,,agency type 2,-3.44,1.43,-6.25,-0.61,1,3860,5606
,,,,agency type 3,-2.65,1.35,-5.27,0.04,1,3697,4824
,,,,agency type 4,-3.36,2.2,-7.63,0.96,1,5492,6580
,,,,agency type 5,-2.47,1.38,-5.17,0.24,1,3887,5047
,,,,distance to patch edge (m),0.13,0.06,0.01,0.24,1,12763,9219
,,,,distance to paved trail (m),0.13,0.15,-0.17,0.44,1,5806,7366
,Big Woods,0.143,0.197,Intercept,16.61,0.33,15.95,17.26,1,6942,7153
,,,,patch size (m2),0.03,0.06,-0.09,0.16,1,12850,9046
,,,,Patch area/perimeter ratio,0.05,0.14,-0.23,0.34,1,9828,8531
,,,,urbanization score,-0.02,0.06,-0.14,0.1,1,11242,9011
,,,,distance to nearest patch (km),-0.07,0.05,-0.16,0.02,1,12847,9037
,,,,agency type 2,1.19,0.46,0.3,2.08,1,16446,9618
,,,,agency type 3,1.6,0.82,-0.03,3.21,1,11388,8247
,,,,agency type 4,0.97,0.4,0.18,1.75,1,7128,8040
,,,,agency type 5,1.69,0.46,0.8,2.6,1,6568,8153
,,,,agency type 6,1.19,1.1,-0.99,3.32,1,11656,9023
,,,,distance to patch edge (m),0.07,0.05,-0.04,0.18,1,16874,9964
,,,,distance to paved trail (m),0.23,0.15,-0.06,0.52,1,8083,7840
,St. Paul - Baldwin,0.162,0.366,Intercept,18.49,1.26,15.99,20.96,1,2634,3844
,,,,patch size (m2),0.04,0.15,-0.26,0.34,1,5087,6718
,,,,Patch area/perimeter ratio,-0.15,0.09,-0.34,0.03,1,5649,8081
,,,,urbanization score,-0.22,0.12,-0.46,0.01,1,5260,6826
,,,,distance to nearest patch (km),-0.11,0.12,-0.34,0.12,1,5346,7218
,,,,agency type 2,-1.9,1.32,-4.52,0.71,1,3003,4117
,,,,agency type 3,-1.47,1.28,-3.99,1.08,1,2727,4090
,,,,agency type 4,-1.63,1.92,-5.38,2.15,1,3320,5342
,,,,agency type 5,-0.79,1.33,-3.43,1.91,1,2695,3908
,,,,agency type 6,-1.23,1.54,-4.3,1.82,1,3258,4811
,,,,distance to patch edge (m),0,0.06,-0.12,0.13,1,12879,8870
,,,,distance to paved trail (m),-0.01,0.1,-0.2,0.19,1,6055,7928
Average DBH,Anoka Sandplain,0.107,0.157,Intercept,32.04,1.24,29.56,34.48,1,5940,7373
,,,,patch size (m2),0.04,0.11,-0.18,0.26,1,10769,8135
,,,,Patch area/perimeter ratio,-0.11,0.11,-0.32,0.11,1,11676,9111
,,,,urbanization score,0.2,0.14,-0.07,0.46,1,11771,8452
,,,,distance to nearest patch (km),0.03,0.11,-0.19,0.26,1,12573,9006
,,,,agency type 2,-2.12,1.36,-4.81,0.56,1,6240,7166
,,,,agency type 3,-1.66,1.26,-4.11,0.87,1,5956,7744
,,,,agency type 4,-0.54,2.4,-5.24,4.16,1,10651,9074
,,,,agency type 5,-2.33,1.28,-4.86,0.21,1,6171,7853
,,,,distance to patch edge (m),0.09,0.09,-0.09,0.26,1,17496,8805
,,,,distance to paved trail (m),0.21,0.15,-0.09,0.52,1,13356,9539
,Big Woods,0.074,0.107,Intercept,29.06,0.37,28.33,29.8,1,4220,3939
,,,,patch size (m2),0.12,0.07,-0.02,0.26,1,8887,6459
,,,,Patch area/perimeter ratio,-0.08,0.17,-0.41,0.26,1,6516,6594
,,,,urbanization score,-0.2,0.07,-0.34,-0.06,1,8000,7625
,,,,distance to nearest patch (km),-0.01,0.05,-0.12,0.1,1,10140,8257
,,,,agency type 2,0.1,0.56,-1,1.18,1,9913,8119
,,,,agency type 3,0.83,0.96,-1.08,2.73,1,7957,7278
,,,,agency type 4,0.48,0.44,-0.39,1.34,1,5233,5867
,,,,agency type 5,1.44,0.52,0.41,2.46,1,4855,5746
,,,,agency type 6,1.5,1.27,-1,4.04,1,9363,8450
,,,,distance to patch edge (m),-0.04,0.07,-0.17,0.09,1,9187,7841
,,,,distance to paved trail (m),0.07,0.16,-0.25,0.39,1,4782,5400
,St. Paul - Baldwin,0.126,0.171,Intercept,29.8,1.2,27.48,32.2,1,5074,5265
,,,,patch size (m2),0.18,0.17,-0.15,0.51,1,9904,8585
,,,,Patch area/perimeter ratio,-0.08,0.11,-0.3,0.13,1,11331,8455
,,,,urbanization score,-0.02,0.14,-0.29,0.25,1,9055,8696
,,,,distance to nearest patch (km),0.37,0.13,0.11,0.62,1,11698,8653
,,,,agency type 2,1.18,1.29,-1.44,3.63,1,5269,5166
,,,,agency type 3,0.45,1.22,-2.02,2.82,1,5300,6195
,,,,agency type 4,-0.14,2.05,-4.2,3.83,1,6385,6863
,,,,agency type 5,0.48,1.28,-2.09,2.95,1,5280,5589
,,,,agency type 6,-0.33,1.53,-3.29,2.68,1,6187,7417
,,,,distance to patch edge (m),-0.01,0.09,-0.2,0.17,1,20086,8657
,,,,distance to paved trail (m),-0.19,0.12,-0.43,0.06,1,11968,9460
Average canopy density,Anoka Sandplain,0.112,0.148,Intercept,69.02,2,65.11,72.92,1,7721,7222
,,,,patch size (m2),-0.1,0.2,-0.47,0.32,1,11264,7932
,,,,Patch area/perimeter ratio,0.27,0.19,-0.1,0.64,1,15171,10050
,,,,urbanization score,0.32,0.24,-0.15,0.77,1,16131,8693
,,,,distance to nearest patch (km),0.11,0.2,-0.28,0.49,1,15246,9576
,,,,agency type 2,-2.31,2.2,-6.67,2.04,1,8136,7386
,,,,agency type 3,-2.55,2.03,-6.5,1.43,1,7735,7496
,,,,agency type 4,0.88,4.01,-6.96,8.81,1,14254,9505
,,,,agency type 5,-3.71,2.06,-7.69,0.38,1,8554,7681
,,,,distance to patch edge (m),0.19,0.16,-0.12,0.5,1,20738,9040
,,,,distance to paved trail (m),0.18,0.28,-0.35,0.73,1,15290,8570
